transaction_id,consumer_id,transaction_date,amount,transaction_mode,transaction_type,full_narration
TXN101457,USER_10002,2024-03-06,-481.09,ATM,DR,ATM/PHARMEASY/REF8648
TXN100842,USER_10035,2024-11-11,41697.34,UPI,CR,UPI/SALARY_CR/REF5362
TXN100166,USER_10037,2024-07-05,-496.16,IMPS,DR,IMPS/BPCL/REF7807
TXN101071,USER_10023,2024-01-07,-1789.21,ATM,DR,ATM/JIO/REF2435
TXN101427,USER_10031,2024-07-26,70819.95,IMPS,CR,IMPS/EMI_CR/REF7292
TXN101405,USER_10045,2024-10-01,69555.67,NEFT,CR,NEFT/EMI_CR/REF5127
TXN101677,USER_10040,2024-02-09,-2128.54,CARD,DR,CARD/NETFLIX/REF8387
TXN101414,USER_10041,2099-12-31,21030.7,IMPS,CR,IMPS/EMI_CR/REF6615
TXN100187,USER_10014,2024-11-10,-3926.97,ATM,DR,ATM/PHARMEASY/REF5941
TXN101651,USER_10049,2024-03-26,-1119.88,NEFT,DR,NEFT/OLA/REF1235
TXN101906,USER_10031,2024-07-20,58389.03,UPI,CR,UPI/EMI_CR/REF8409
TXN101388,USER_10029,2024-01-14,-3487.7,RTGS,DR,RTGS/MYNTRA/REF7244
TXN101629,USER_10036,2024-07-05,-402.11,RTGS,DR,RTGS/PORTRONICS/REF5226
TXN100899,USER_10005,2024-09-04,-3043.65,IMPS,DR,IMPS/PORTRONICS/REF7996
TXN100078,USER_10007,2024-08-21,-2349.98,ATM,DR,ATM/MCD/REF6198
TXN100809,USER_10034,2024-07-06,-3890.79,RTGS,DR,RTGS/MCD/REF4039
TXN100007,USER_10036,2024-04-08,-276.83,IMPS,DR,IMPS/BLR_METRO/REF2307
TXN101532,USER_10017,2024-02-25,50939.58,NEFT,CR,NEFT/REFUND/REF3291
TXN101268,USER_10023,2024-10-19,-2637.75,IMPS,DR,IMPS/FLIPKART/REF5995
TXN101029,USER_10036,2024-10-10,11053.2,RTGS,CR,RTGS/EMI_CR/REF4546
TXN100315,USER_10045,2024-03-11,-2826.39,RTGS,DR,RTGS/PHARMEASY/REF9609
TXN100105,USER_10016,2024-06-23,-3000.97,ATM,DR,ATM/INDIAN_OIL/REF1166
TXN100693,USER_10046,2024-02-08,64471.11,UPI,CR,UPI/EMI_CR/REF7637
TXN100794,USER_10004,2024-10-05,-1001.35,RTGS,DR,RTGS/INDIAN_OIL/REF1206
TXN101430,USER_10032,2024-12-29,-3458.02,UPI,DR,UPI/PORTRONICS/REF7313
TXN100375,USER_10035,2024-10-26,-2117.01,NEFT,DR,NEFT/BIGBASKET/REF6404
TXN101653,USER_10041,2024-08-21,-1791.06,RTGS,DR,RTGS/BBPS/REF9571
TXN101443,USER_10026,2024-08-13,-3140.89,NEFT,DR,NEFT/APOLLO_PHARMACY/REF2307
TXN100112,USER_10013,2024-09-04,-2968.46,ATM,DR,ATM/AJIO/REF5636
TXN100579,USER_10042,2024-07-10,-2989.17,IMPS,DR,IMPS/BPCL/REF2771
TXN100237,USER_10004,2024-05-31,12079.85,CARD,CR,CARD/EMI_CR/REF9626
TXN100045,USER_10029,2024-06-10,70501.4,RTGS,CR,RTGS/SALARY_CR/REF2638
TXN101760,USER_10003,2024-07-20,-3366.89,ATM,DR,ATM/JIO/REF8540
TXN100385,USER_10016,2024-06-30,-2014.64,RTGS,DR,RTGS/SPOTIFY/REF8520
TXN101047,USER_10007,2099-12-31,-3407.63,IMPS,DR,IMPS/BBPS/REF8405
TXN101825,USER_10034,2024-08-25,-3610.14,ATM,DR,ATM/AJIO/REF5261
TXN100545,USER_10009,2024-01-28,-2166.65,CARD,DR,CARD/BPCL/REF8869
TXN100354,USER_10019,2024-08-25,-2745.0,RTGS,DR,RTGS/BBPS/REF4762
TXN100891,USER_10038,2024-11-03,-4416.73,ATM,DR,ATM/INDIAN_OIL/REF4401
TXN100002,USER_10014,2024-09-15,-2828.16,CARD,DR,CARD/PORTRONICS/REF9928
TXN101644,USER_10042,2024-05-12,-316.02,IMPS,DR,IMPS/AIRTEL/REF5864
TXN100441,USER_10035,2024-09-18,-615.32,ATM,DR,ATM/AJIO/REF7010
TXN100902,USER_10039,2024-04-29,-4897.33,UPI,DR,UPI/SWIGGY/REF1392
TXN101374,USER_10001,2024-04-05,-4561.16,IMPS,DR,IMPS/TATA_POWER/REF4373
TXN101004,USER_10037,2024-02-02,12443.18,ATM,CR,ATM/REFUND/REF4613
TXN100905,USER_10040,2024-04-13,1309.37,IMPS,DR,IMPS/AMAZON/REF5919
TXN101543,USER_10044,2024-09-14,-983.91,CARD,DR,CARD/DMART/REF3436
TXN101447,USER_10024,2024-11-04,-4812.19,RTGS,DR,RTGS/INDIAN_OIL/REF8753
TXN100880,USER_10027,2024-05-30,-320.01,NEFT,DR,
TXN101372,USER_10006,2024-06-17,-2285.1,UPI,DR,UPI/BPCL/REF3808
TXN101501,USER_10016,2024-07-14,858.43,UPI,DR,UPI/JIO/REF5164
TXN101308,USER_10007,2024-05-22,-2495.36,NEFT,DR,NEFT/BBPS/REF3875
TXN101079,USER_10019,2024-11-23,38077.88,CARD,CR,CARD/EMI_CR/REF5713
TXN100369,USER_10030,2024-04-16,28307.5,NEFT,CR,NEFT/SALARY_CR/REF4113
TXN100795,USER_10007,2024-12-31,-3867.57,NEFT,DR,NEFT/JIO/REF1549
TXN101767,USER_10015,2099-12-31,-172.05,RTGS,DR,RTGS/MCD/REF7401
TXN100276,USER_10012,2024-03-03,-416.56,CARD,DR,CARD/UBER/REF8292
TXN101722,USER_10012,2024-05-30,-924.39,ATM,DR,ATM/INDIAN_OIL/REF9087
TXN100979,USER_10014,2024-05-25,-218.51,UPI,DR,UPI/RELIANCE_TRENDS/REF1931
TXN101475,USER_10001,2024-10-07,-2141.07,IMPS,DR,IMPS/DOMINOS/REF7412
TXN100148,USER_10037,2024-06-18,66193.33,UPI,CR,UPI/REFUND/REF9617
TXN100556,USER_10040,2024-03-16,23052.05,UPI,CR,UPI/EMI_CR/REF2425
TXN101056,USER_10030,2024-07-09,58882.48,NEFT,CR,NEFT/SALARY_CR/REF6785
TXN101602,USER_10014,2024-01-29,-630.32,CARD,DR,CARD/PORTRONICS/REF3344
TXN101217,USER_10019,2024-11-12,48172.14,CARD,CR,CARD/EMI_CR/REF7471
TXN101765,USER_10019,2024-11-17,-4946.34,RTGS,DR,RTGS/SWIGGY/REF4288
TXN100846,USER_10028,2024-01-23,21344.27,IMPS,CR,IMPS/EMI_CR/REF3555
TXN100483,USER_10033,2024-09-21,55453.59,IMPS,CR,IMPS/SALARY_CR/REF3079
TXN100787,USER_10018,2024-11-28,-4053.6,NEFT,DR,NEFT/AIRTEL/REF2121
TXN101367,USER_10019,2024-01-05,-3311.3,IMPS,DR,IMPS/SPOTIFY/REF4694
TXN101963,USER_10035,2024-05-17,-3878.37,NEFT,DR,NEFT/INDIAN_OIL/REF8662
TXN101625,USER_10021,2024-05-28,-4286.97,UPI,DR,UPI/AIRTEL/REF7350
TXN101014,USER_10039,2024-02-15,-3923.79,RTGS,DR,RTGS/SPOTIFY/REF1074
TXN101817,USER_10033,2024-04-28,2787.18,IMPS,DR,IMPS/FLIPKART/REF3325
TXN100508,USER_10035,2024-10-08,2337.11,UPI,DR,UPI/BIGBASKET/REF1195
TXN101694,USER_10006,2024-10-14,-3059.13,UPI,DR,UPI/PHARMEASY/REF7909
TXN100268,USER_10010,2024-12-19,-2263.29,IMPS,DR,IMPS/MYNTRA/REF8126
TXN101085,USER_10010,2024-01-28,-2126.59,UPI,DR,UPI/SPOTIFY/REF5749
TXN100478,USER_10040,2024-10-01,-805.77,IMPS,DR,IMPS/AMAZON/REF2294
TXN100762,USER_10046,2024-06-10,26002.39,ATM,CR,ATM/EMI_CR/REF1781
TXN101575,USER_10031,2024-04-02,-4087.21,NEFT,DR,NEFT/UBER/REF9036
TXN101546,USER_10019,2024-12-24,-1195.57,RTGS,DR,RTGS/NETFLIX/REF8851
TXN101628,USER_10006,2024-08-20,-4673.58,UPI,DR,UPI/UBER/REF5589
TXN100109,USER_10035,2024-09-28,-4983.33,IMPS,DR,IMPS/BBPS/REF6764
TXN100438,USER_10041,2024-09-10,-2484.04,RTGS,DR,RTGS/PORTRONICS/REF9006
TXN100983,USER_10017,2024-08-06,-3354.52,IMPS,DR,IMPS/AJIO/REF5216
TXN100236,USER_10013,2024-06-23,39038.96,NEFT,CR,NEFT/SALARY_CR/REF3538
TXN101969,USER_10037,2024-10-21,3668.23,NEFT,DR,NEFT/DOMINOS/REF5138
TXN101228,USER_10028,2024-12-23,-848.6,NEFT,DR,
TXN101243,USER_10010,2024-02-13,-3590.24,IMPS,DR,IMPS/AIRTEL/REF5021
TXN100654,USER_10024,2024-07-17,-3951.15,IMPS,DR,IMPS/PHARMEASY/REF1881
TXN100998,USER_10024,2024-02-02,50038.53,ATM,CR,ATM/REFUND/REF8361
TXN100126,USER_10010,2024-06-06,4129.99,RTGS,DR,RTGS/BPCL/REF3037
TXN101557,USER_10035,2024-12-30,-4391.52,IMPS,DR,IMPS/BBPS/REF6996
TXN101241,USER_10009,2024-11-27,-4104.85,NEFT,DR,NEFT/FLIPKART/REF8194
TXN100753,USER_10033,2024-08-04,-2726.8,IMPS,DR,IMPS/MCD/REF7450
TXN101055,USER_10019,2024-10-17,-3957.27,IMPS,DR,IMPS/UBER/REF4715
TXN101911,USER_10003,2024-09-09,-1591.7,NEFT,DR,NEFT/NETFLIX/REF1598
TXN101482,USER_10007,2024-09-20,-2987.29,CARD,DR,CARD/BIGBASKET/REF7619
TXN101126,USER_10036,2024-08-28,-4279.04,UPI,DR,UPI/MCD/REF7412
TXN101291,USER_10005,2099-12-31,-3925.26,IMPS,DR,IMPS/BIGBASKET/REF9854
TXN100027,USER_10028,2024-03-02,-366.93,ATM,DR,ATM/SWIGGY/REF4770
TXN101730,USER_10010,2024-04-05,-2303.32,CARD,DR,CARD/SWIGGY/REF8775
TXN101145,USER_10027,2024-07-29,-4159.56,CARD,DR,CARD/AMAZON/REF4335
TXN100692,USER_10017,2024-03-12,18750.24,CARD,CR,
TXN100892,USER_10003,2024-04-04,-3283.72,NEFT,DR,NEFT/ZOMATO/REF1531
TXN101528,USER_10039,2024-08-23,-1801.77,IMPS,DR,IMPS/SWIGGY/REF4050
TXN100737,USER_10022,2024-12-08,-2951.1,UPI,DR,UPI/MCD/REF2124
TXN101929,USER_10036,2024-02-22,-2635.47,RTGS,DR,RTGS/APOLLO_PHARMACY/REF6409
TXN101986,USER_10010,2024-07-22,-4179.45,UPI,DR,UPI/JIO/REF6673
TXN100512,USER_10029,2024-01-26,-2890.73,RTGS,DR,RTGS/MYNTRA/REF9128
TXN101534,USER_10012,2024-05-25,-2003.0,IMPS,DR,IMPS/MYNTRA/REF1517
TXN100534,USER_10031,2024-03-13,-435.14,IMPS,DR,IMPS/SPOTIFY/REF3750
TXN101237,USER_10044,2024-09-20,-565.5,RTGS,DR,RTGS/ZOMATO/REF8489
TXN101685,USER_10012,2024-12-17,55217.73,UPI,CR,UPI/REFUND/REF6105
TXN100140,USER_10041,2024-03-19,-3597.19,CARD,DR,CARD/MCD/REF5479
TXN100077,USER_10014,2024-03-31,53713.82,UPI,CR,UPI/REFUND/REF5082
TXN100774,USER_10001,2024-07-22,-4980.27,IMPS,DR,IMPS/FLIPKART/REF3544
TXN101822,USER_10042,2024-06-05,-3826.83,ATM,DR,ATM/SWIGGY/REF6508
TXN100248,USER_10014,2024-01-15,-540.46,CARD,DR,CARD/PORTRONICS/REF6493
TXN100552,USER_10034,2024-12-17,38237.71,RTGS,CR,RTGS/SALARY_CR/REF5896
TXN100050,USER_10038,2024-04-17,-1057.81,IMPS,DR,IMPS/APOLLO_PHARMACY/REF9280
TXN101426,USER_10012,2024-03-20,5292.64,CARD,CR,CARD/EMI_CR/REF7131
TXN100823,USER_10034,2024-11-03,-1794.0,ATM,DR,ATM/NETFLIX/REF6319
TXN101193,USER_10017,2024-10-15,45997.42,UPI,CR,UPI/EMI_CR/REF9618
TXN100120,USER_10019,2024-10-18,-3067.67,UPI,DR,UPI/MYNTRA/REF4404
TXN100845,USER_10049,2024-06-05,-1781.1,ATM,DR,
TXN100890,USER_10015,2024-04-21,-2404.77,RTGS,DR,RTGS/AIRTEL/REF2300
TXN101842,USER_10038,2024-04-18,40755.73,ATM,CR,ATM/EMI_CR/REF6636
TXN101723,USER_10033,2024-08-09,-296.86,UPI,DR,UPI/BLR_METRO/REF4597
TXN101864,USER_10027,2024-05-26,-1626.96,NEFT,DR,NEFT/UBER/REF1687
TXN101669,USER_10005,2024-02-17,-107.11,ATM,DR,ATM/AJIO/REF3507
TXN101385,USER_10010,2024-05-20,42641.63,UPI,CR,UPI/EMI_CR/REF4559
TXN101185,USER_10021,2024-08-27,-1620.72,RTGS,DR,RTGS/MCD/REF3323
TXN100416,USER_10023,2024-12-25,42583.42,UPI,CR,UPI/EMI_CR/REF2791
TXN100285,USER_10009,2024-06-04,-1647.17,NEFT,DR,NEFT/PORTRONICS/REF6669
TXN100280,USER_10001,2024-07-03,-1876.11,NEFT,DR,NEFT/BBPS/REF2412
TXN100274,USER_10015,2024-02-28,-970.94,RTGS,DR,RTGS/MCD/REF2929
TXN101213,USER_10020,2024-10-27,-3798.9,ATM,DR,ATM/JIO/REF5342
TXN101201,USER_10005,2024-01-11,16405.85,IMPS,CR,IMPS/REFUND/REF3525
TXN100743,USER_10043,2024-08-23,65341.63,UPI,CR,UPI/REFUND/REF5224
TXN100161,USER_10015,2024-07-14,-2895.32,IMPS,DR,IMPS/PORTRONICS/REF1359
TXN101313,USER_10029,2024-09-10,-3807.16,NEFT,DR,NEFT/MYNTRA/REF1769
TXN100504,USER_10022,2024-04-16,-2343.57,UPI,DR,UPI/FLIPKART/REF3582
TXN100680,USER_10000,2024-10-10,14896.17,UPI,CR,UPI/SALARY_CR/REF7456
TXN100981,USER_10045,2024-03-02,-3043.19,CARD,DR,CARD/TATA_POWER/REF4027
TXN100261,USER_10002,2024-05-30,-3965.99,IMPS,DR,IMPS/ZOMATO/REF6080
TXN100597,USER_10020,2024-09-28,3399.9,CARD,DR,CARD/APOLLO_PHARMACY/REF5076
TXN101755,USER_10036,2024-11-17,957.69,UPI,DR,UPI/AIRTEL/REF3270
TXN100804,USER_10006,2024-03-05,-1617.86,CARD,DR,
TXN100685,USER_10016,2024-02-20,-2923.95,IMPS,DR,IMPS/NETFLIX/REF3100
TXN100808,USER_10038,2024-10-10,-2679.13,IMPS,DR,
TXN101384,USER_10042,2024-04-03,-522.89,UPI,DR,UPI/PORTRONICS/REF4927
TXN100254,USER_10036,2024-05-03,-1491.8,ATM,DR,ATM/SWIGGY/REF6780
TXN100305,USER_10025,2024-09-13,-242.62,IMPS,DR,IMPS/PORTRONICS/REF8761
TXN100938,USER_10004,2024-06-23,-3485.6,RTGS,DR,RTGS/AIRTEL/REF6606
TXN101647,USER_10004,2024-12-07,-765.86,CARD,DR,CARD/PHARMEASY/REF6185
TXN101298,USER_10040,2024-05-13,54542.79,NEFT,CR,NEFT/REFUND/REF6269
TXN100216,USER_10015,2024-08-11,-2643.61,IMPS,DR,IMPS/TATA_POWER/REF6562
TXN100203,USER_10004,2024-03-13,-4860.46,CARD,DR,CARD/AMAZON/REF9691
TXN101165,USER_10044,2024-05-13,-1791.69,CARD,DR,CARD/RELIANCE_TRENDS/REF9973
TXN100820,USER_10033,2024-12-02,INVALID,ATM,DR,ATM/UBER/REF7802
TXN100595,USER_10031,2024-02-15,-2196.87,RTGS,DR,RTGS/AIRTEL/REF8029
TXN100632,USER_10032,2024-10-14,-3373.8,IMPS,DR,
TXN100104,USER_10021,2024-01-15,-1658.82,NEFT,DR,NEFT/DOMINOS/REF6813
TXN101363,USER_10048,2024-03-17,20930.49,CARD,CR,CARD/EMI_CR/REF4438
TXN101094,USER_10011,2024-12-29,-3735.08,NEFT,DR,NEFT/FLIPKART/REF3108
TXN100489,USER_10030,2024-07-05,-792.92,ATM,DR,
TXN101190,USER_10010,2024-12-27,-624.32,UPI,DR,UPI/DOMINOS/REF8233
TXN100150,USER_10030,2024-05-15,-3478.89,UPI,DR,UPI/APOLLO_PHARMACY/REF6383
TXN101141,USER_10039,2024-09-20,-3829.04,UPI,DR,UPI/UBER/REF9457
TXN100852,USER_10018,2024-04-12,48257.53,RTGS,CR,RTGS/SALARY_CR/REF1136
TXN101873,USER_10022,2024-02-10,-1151.09,IMPS,DR,IMPS/AMAZON/REF3567
TXN101613,USER_10044,2024-08-27,-3280.86,RTGS,DR,RTGS/TATA_POWER/REF3700
TXN101820,USER_10017,2099-12-31,-143.3,RTGS,DR,RTGS/TATA_POWER/REF8274
TXN101631,USER_10002,2024-07-05,33065.75,CARD,CR,CARD/EMI_CR/REF3113
TXN100482,USER_10007,2024-01-07,-3522.42,RTGS,DR,RTGS/UBER/REF6680
TXN101579,USER_10024,2024-07-15,-4141.48,CARD,DR,CARD/AJIO/REF1716
TXN101632,USER_10028,2024-07-06,-3141.93,IMPS,DR,IMPS/NETFLIX/REF2367
TXN101681,USER_10034,2024-01-12,-3816.76,IMPS,DR,IMPS/OLA/REF2880
TXN101246,USER_10049,2024-01-06,-2610.88,UPI,DR,UPI/AMAZON/REF6542
TXN101438,USER_10047,2024-04-17,32857.92,UPI,CR,UPI/REFUND/REF3759
TXN101035,USER_10013,2024-03-08,-1233.36,UPI,DR,UPI/AMAZON/REF8860
TXN100865,USER_10041,2024-10-16,27224.73,ATM,CR,ATM/EMI_CR/REF2939
TXN100115,USER_10040,2024-09-08,-110.71,RTGS,DR,RTGS/BPCL/REF8843
TXN101250,USER_10022,2024-01-05,68014.6,NEFT,CR,   
TXN101435,USER_10033,2024-04-06,16607.65,IMPS,CR,IMPS/REFUND/REF5951
TXN100270,USER_10023,2024-09-19,52558.74,NEFT,CR,NEFT/SALARY_CR/REF8179
TXN100472,USER_10018,2024-11-26,-4494.67,RTGS,DR,RTGS/BLR_METRO/REF7322
TXN101884,USER_10034,2024-09-03,-1133.71,IMPS,DR,IMPS/AJIO/REF7874
TXN100945,USER_10027,2024-06-25,45790.89,ATM,CR,ATM/EMI_CR/REF7622
TXN100359,USER_10032,2024-05-28,-4586.17,IMPS,DR,IMPS/DMART/REF6253
TXN100763,USER_10025,2024-02-20,-347.18,RTGS,DR,RTGS/INDIAN_OIL/REF2577
TXN101195,USER_10021,2024-01-14,-4907.61,RTGS,DR,RTGS/FLIPKART/REF7120
TXN101274,USER_10009,2024-06-15,-3142.61,RTGS,DR,RTGS/RELIANCE_TRENDS/REF7344
TXN101580,USER_10008,2024-05-07,23735.95,ATM,CR,ATM/EMI_CR/REF1221
TXN100681,USER_10034,2024-10-07,26328.38,CARD,CR,CARD/EMI_CR/REF6633
TXN101396,USER_10024,2024-12-19,-309.46,UPI,DR,UPI/SWIGGY/REF7183
TXN101321,USER_10044,2024-02-03,9340.16,UPI,CR,UPI/REFUND/REF5939
TXN100304,USER_10021,2024-10-12,57847.56,ATM,CR,ATM/SALARY_CR/REF9341
TXN100348,USER_10046,2024-01-12,-4091.44,NEFT,DR,NEFT/MYNTRA/REF2196
TXN100082,USER_10015,2024-05-19,-4470.48,NEFT,DR,NEFT/AMAZON/REF3471
TXN100528,USER_10004,2024-07-10,-3327.59,UPI,DR,UPI/DMART/REF6514
TXN101390,USER_10045,2024-03-10,-3755.95,RTGS,DR,RTGS/DOMINOS/REF2117
TXN101339,USER_10028,2024-04-09,-4567.91,UPI,DR,UPI/SPOTIFY/REF1486
TXN101257,USER_10023,2024-05-12,-1804.64,CARD,DR,CARD/ZOMATO/REF3043
TXN100972,USER_10024,2024-12-15,-2399.22,ATM,DR,ATM/BIGBASKET/REF8122
TXN101541,USER_10039,2024-03-19,-974.96,UPI,DR,UPI/INDIAN_OIL/REF5317
TXN101805,USER_10001,2024-04-10,-4308.46,CARD,DR,CARD/PHARMEASY/REF1296
TXN100525,USER_10038,2024-04-22,-2416.05,ATM,DR,ATM/NETFLIX/REF4300
TXN100569,USER_10012,2024-04-12,22464.32,UPI,CR,UPI/REFUND/REF6904
TXN101398,USER_10001,2024-08-03,-122.07,CARD,DR,CARD/OLA/REF2035
TXN100301,USER_10048,2024-07-25,-2032.88,ATM,DR,ATM/DMART/REF4189
TXN100553,USER_10005,2024-07-21,55001.4,ATM,CR,ATM/EMI_CR/REF9467
TXN101247,USER_10020,2024-07-24,16502.73,RTGS,CR,RTGS/SALARY_CR/REF1607
TXN101646,USER_10044,2024-08-11,-3479.86,UPI,DR,UPI/TATA_POWER/REF4253
TXN101166,USER_10047,2024-06-16,-185.39,CARD,DR,CARD/ZOMATO/REF4010
TXN101306,USER_10045,2024-04-23,-2494.35,UPI,DR,
TXN101988,USER_10008,2024-10-21,-3447.18,RTGS,DR,RTGS/SWIGGY/REF7581
TXN100435,USER_10027,2024-04-05,-2710.03,NEFT,DR,NEFT/APOLLO_PHARMACY/REF3733
TXN100903,USER_10029,2024-11-16,56622.79,ATM,CR,ATM/SALARY_CR/REF7793
